LAMMPS Description 
 
	 605 atoms 
 	 0 bonds 
 	 0 angles 
 	 0 dihedrals 
 	 0 impropers 

 	 3 atom types 
 	 2 bond types 
 	 0 angle types 
 	 0 dihedral types 
 	 0 improper types 

 	 -156.25 156.25 xlo xhi
 	-156.25 156.25 ylo yhi 
 	-0.05 0.05 zlo zhi

Masses 
 
	 1 1.0000 
	 2 1.0000 
	 3 1.0000 

Atoms 
 
	 1 1 1 0 93.75 131.25 0.0 0 0 0 
	 2 2 1 0 118.75 -131.25 0.0 0 0 0 
	 3 3 1 0 6.25 -93.75 0.0 0 0 0 
	 4 4 1 0 -106.25 -131.25 0.0 0 0 0 
	 5 5 1 0 -6.25 18.75 0.0 0 0 0 
	 6 6 1 0 56.25 -93.75 0.0 0 0 0 
	 7 7 1 0 -131.25 93.75 0.0 0 0 0 
	 8 8 1 0 131.25 -6.25 0.0 0 0 0 
	 9 9 1 0 81.25 -68.75 0.0 0 0 0 
	 10 10 1 0 6.25 -18.75 0.0 0 0 0 
	 11 11 1 0 -143.75 118.75 0.0 0 0 0 
	 12 12 1 0 -143.75 68.75 0.0 0 0 0 
	 13 13 1 0 81.25 -56.25 0.0 0 0 0 
	 14 14 1 0 -156.25 81.25 0.0 0 0 0 
	 15 15 1 0 -81.25 -68.75 0.0 0 0 0 
	 16 16 1 0 131.25 -131.25 0.0 0 0 0 
	 17 17 1 0 -143.75 -81.25 0.0 0 0 0 
	 18 18 1 0 -81.25 -56.25 0.0 0 0 0 
	 19 19 1 0 81.25 -31.25 0.0 0 0 0 
	 20 20 1 0 -131.25 -93.75 0.0 0 0 0 
	 21 21 1 0 131.25 31.25 0.0 0 0 0 
	 22 22 1 0 43.75 -106.25 0.0 0 0 0 
	 23 23 1 0 56.25 118.75 0.0 0 0 0 
	 24 24 1 0 -93.75 43.75 0.0 0 0 0 
	 25 25 1 0 18.75 -31.25 0.0 0 0 0 
	 26 26 1 0 143.75 -106.25 0.0 0 0 0 
	 27 27 1 0 106.25 31.25 0.0 0 0 0 
	 28 28 1 0 106.25 -93.75 0.0 0 0 0 
	 29 29 1 0 106.25 143.75 0.0 0 0 0 
	 30 30 1 0 -18.75 18.75 0.0 0 0 0 
	 31 31 1 0 -43.75 68.75 0.0 0 0 0 
	 32 32 1 0 56.25 -131.25 0.0 0 0 0 
	 33 33 1 0 31.25 -43.75 0.0 0 0 0 
	 34 34 1 0 81.25 81.25 0.0 0 0 0 
	 35 35 1 0 -56.25 -18.75 0.0 0 0 0 
	 36 36 1 0 6.25 18.75 0.0 0 0 0 
	 37 37 1 0 18.75 93.75 0.0 0 0 0 
	 38 38 1 0 -118.75 68.75 0.0 0 0 0 
	 39 39 1 0 131.25 118.75 0.0 0 0 0 
	 40 40 1 0 -156.25 -93.75 0.0 0 0 0 
	 41 41 1 0 -81.25 143.75 0.0 0 0 0 
	 42 42 1 0 -81.25 93.75 0.0 0 0 0 
	 43 43 1 0 81.25 68.75 0.0 0 0 0 
	 44 44 1 0 -18.75 56.25 0.0 0 0 0 
	 45 45 1 0 -143.75 143.75 0.0 0 0 0 
	 46 46 1 0 31.25 18.75 0.0 0 0 0 
	 47 47 1 0 -31.25 143.75 0.0 0 0 0 
