fix fLANG all langevin 1.0 1.0 1.0 100
neigh_modify exclude molecule/intra all
fix rigidNVE linked_vesicle rigid/nve molecule
  1 rigid bodies with 5 atoms
fix NVE synapsin nve 1.0 1.0 1.0

    ##======================================##
    ## Output
    ##======================================##

thermo 1000
thermo_style custom step temp press etotal epair
thermo_modify flush yes
timestep 0.01

    ##======================================##
    ## Equilibration before output
    ##======================================##


    ##======================================##
    ## Run with output
    ##======================================##

fix enforce_2d all enforce2d
dump 2 all custom 1000 Results_eps_attr6_eps_rep1_range2_attr_with_repFalse_n_synapsin400_n_vesicles1/Movie_2d_eps_attr6_eps_rep1_range2_attr_with_repFalse_n_synapsin400_n_vesicles1.xyz id type mol x y z
run 1000000
Generated 0 of 3 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update every 1 steps, delay 1 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 11.52462
  ghost atom cutoff = 11.52462
  binsize = 5.7623102, bins = 55 55 1
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair cosine/squared, perpetual
      attributes: half, newton on
      pair build: half/bin/newton
      stencil: half/bin/2d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 8.526 | 8.526 | 8.526 Mbytes
   Step          Temp          Press          TotEng         E_pair    
         0   0.99441908    -0.013071225    0.98336998     0            
      1000   1.052877       0.0040548885   1.0411809      2.5044906e-06
      2000   0.97902644     0.0030040622   0.96849889     0.00035052091
      3000   1.0601207      0.0035583022   1.0483416      0            
      4000   1.0466423      0.0043625821   1.0350129      0            
      5000   1.0005436      0.0035020426   0.98945454     2.8061539e-05
      6000   0.97028404     0.0030784247   0.95950311     0            
      7000   0.9429228      0.0035389451   0.9342467      0.001800821  
      8000   1.070792       0.0042930144   1.0588943      0            
      9000   1.099818       0.0040939823   1.0875978      0            
     10000   1.0652914      0.0046631726   1.047573      -0.0058817791 
     11000   0.96166676     0.0042665641   0.94234583    -0.0086357397 
     12000   0.93403983     0.0029562572   0.91136994    -0.012291663  
     13000   0.94904509     0.0045782206   0.92287542    -0.01562472   
     14000   1.0550199      0.0042172986   1.0307313     -0.012566131  
     15000   0.95572838     0.0048570428   0.9282354     -0.016873773  
     16000   0.95839907     0.0038308653   0.91853225    -0.029217942  
     17000   1.001438       0.0036146473   0.96223058    -0.028080306  
     18000   1.0783614      0.0044232004   1.0394633     -0.026916273  
     19000   0.99911654     0.0043181169   0.96507068    -0.022944571  
     20000   0.97382522     0.0042693577   0.95010896    -0.012895976  
     21000   0.95002924     0.0036109824   0.91749282    -0.021980535  
     22000   0.88814935     0.0039859105   0.85619594    -0.02208509   
     23000   0.91453503     0.0037661458   0.88363305    -0.020740475  
     24000   0.95247654     0.0036233839   0.91595773    -0.025935741  
     25000   0.96597998     0.0038302471   0.92597816    -0.029268703  
     26000   0.98607238     0.004551438    0.94619928    -0.028916734  
     27000   1.0123262      0.0045034054   0.97412037    -0.026957768  
     28000   1.0188159      0.0046994132   0.99544138    -0.012054319  
     29000   1.0335112      0.0050038014   0.99778772    -0.024240013  
     30000   0.97823245     0.0026262416   0.94159445    -0.025768747  
     31000   1.0090794      0.0043823501   0.97111668    -0.026750747  
     32000   1.0493229      0.0041842275   1.0145709     -0.023092894  
     33000   1.0255317      0.0043804719   0.98839914    -0.025737779  
     34000   0.96052856     0.0032680492   0.92437029    -0.025485734  
     35000   1.0477297      0.0037238434   1.0097724     -0.026315847  
     36000   0.99482843     0.0039611988   0.95607706    -0.02769772   
     37000   1.0179001      0.0049239621   0.98166713    -0.024922928  
     38000   0.99188193     0.0029098342   0.94749299    -0.033368029  
     39000   0.90038898     0.0043131474   0.85012393    -0.040260733  
     40000   1.0306198      0.0034798481   0.97805133    -0.041117097  
     41000   0.94649538     0.0035096844   0.89979362    -0.036185141  
     42000   1.0321406      0.0035841307   0.98830306    -0.032369293  
     43000   0.99193891     0.0044935237   0.94163822    -0.039279152  
     44000   1.0430574      0.0042183676   0.99636961    -0.035098296  
     45000   1.0238743      0.0048816698   0.97792888    -0.034569079  
     46000   1.0357256      0.0036436059   0.98424834    -0.039969195  
     47000   1.0025949      0.0041144683   0.95104126    -0.040413682  
     48000   1.0519409      0.0039694797   1.0194374     -0.020815201  
     49000   1.0125378      0.0036249848   0.96588345    -0.035403961  
     50000   0.96367181     0.0029642292   0.91394977    -0.039014566  
     51000   1.0124676      0.0049025329   0.96001395    -0.04120403   
     52000   1.0976278      0.0037890241   1.0653381     -0.020093858  
     53000   1.0351951      0.0038538916   0.99603714    -0.027655745  
     54000   1.0689259      0.00470215     1.0312235     -0.02582542   
     55000   0.98015103     0.0045808941   0.92386171    -0.045398756  
     56000   1.0466373      0.0050265239   0.97927413    -0.055733904  
     57000   0.98548314     0.0039938835   0.92408572    -0.050447606  
     58000   0.97730977     0.003566277    0.91349615    -0.05295462   
     59000   1.0104176      0.0038493139   0.94666438    -0.05252634   
     60000   1.0169244      0.0037704309   0.95141567    -0.054209567  
