fix fLANG all langevin 1.0 1.0 1.0 100
neigh_modify exclude molecule/intra all
fix rigidNVE linked_vesicle rigid/nve molecule
  1 rigid bodies with 5 atoms
fix NVE synapsin nve 1.0 1.0 1.0

    ##======================================##
    ## Output
    ##======================================##

thermo 1000
thermo_style custom step temp press etotal epair
thermo_modify flush yes
timestep 0.01

    ##======================================##
    ## Equilibration before output
    ##======================================##


    ##======================================##
    ## Run with output
    ##======================================##

fix enforce_2d all enforce2d
dump 2 all custom 1000 Results_eps_attr10_eps_rep1_range2_attr_with_repFalse_n_synapsin400_n_vesicles1/Movie_2d_eps_attr10_eps_rep1_range2_attr_with_repFalse_n_synapsin400_n_vesicles1.xyz id type mol x y z
run 1000000
Generated 0 of 3 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update every 1 steps, delay 1 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 11.52462
  ghost atom cutoff = 11.52462
  binsize = 5.7623102, bins = 55 55 1
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair cosine/squared, perpetual
      attributes: half, newton on
      pair build: half/bin/newton
      stencil: half/bin/2d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 8.526 | 8.526 | 8.526 Mbytes
   Step          Temp          Press          TotEng         E_pair    
         0   0.99441908    -0.013071225    0.98336998     0            
      1000   1.052877       0.0040548885   1.0411809      2.5044906e-06
      2000   0.97902644     0.0030040622   0.96849889     0.00035052091
      3000   1.0601207      0.0035583022   1.0483416      0            
      4000   1.0466423      0.0043625821   1.0350129      0            
      5000   1.0005436      0.0035020426   0.98945454     2.8061539e-05
      6000   0.97028404     0.0030784247   0.95950311     0            
      7000   0.9429228      0.0035389451   0.9342467      0.001800821  
      8000   1.070792       0.0042930144   1.0588943      0            
      9000   1.099818       0.0040939823   1.0875978      0            
     10000   1.0716165      0.0046640274   1.0396411     -0.020068551  
     11000   0.96758513     0.0039226584   0.93218445    -0.024649734  
     12000   0.92839995     0.0040564137   0.89386317    -0.024221223  
     13000   0.96695252     0.0032661115   0.93187168    -0.02433692   
     14000   1.0490723      0.0052075339   0.9919328     -0.045483173  
     15000   0.9618786      0.0046726751   0.90651357    -0.04467749   
     16000   0.96320677     0.0044478625   0.90782626    -0.044678217  
     17000   1.0006813      0.0049119055   0.94784147    -0.041721164  
     18000   1.0832368      0.0043768945   1.0255871     -0.045613765  
     19000   0.98734873     0.0037488735   0.90569527    -0.070682924  
     20000   0.99759804     0.0042947633   0.91548304    -0.071030573  
     21000   0.96112606     0.0039518887   0.89250548    -0.057941401  
     22000   0.89398409     0.0035763945   0.83918908    -0.044861849  
     23000   0.90508459     0.0041480552   0.85181633    -0.043211765  
     24000   0.95778398     0.0051708928   0.9034052     -0.043736733  
     25000   0.96410114     0.0028633553   0.91323553    -0.040153372  
     26000   0.96429658     0.0041554263   0.90789915    -0.045683024  
     27000   1.0148163      0.002987406    0.95693493    -0.046605586  
     28000   1.0227828      0.0045545031   0.94288954    -0.068529037  
     29000   1.030305       0.0042412929   0.95251424    -0.066342949  
     30000   0.96455523     0.0036151836   0.88792054    -0.065917406  
     31000   1.0024224      0.0048519076   0.92165596    -0.069628406  
     32000   1.0524636      0.0049299736   0.9471152     -0.093654384  
     33000   1.0217133      0.0033251191   0.92215171    -0.088209181  
     34000   0.97179198     0.0030673124   0.87234079    -0.088653503  
     35000   1.0374019      0.0052894475   0.93692667    -0.0889485    
     36000   0.98697248     0.0040970647   0.89317027    -0.08283584   
     37000   1.0310271      0.0047549479   0.90106912    -0.11850208   
     38000   0.98653953     0.0039062497   0.86504713    -0.11053084   
     39000   0.90969946     0.0042954209   0.79035139    -0.1092403    
     40000   1.0479804      0.0046775277   0.91708715    -0.119249     
     41000   0.95454493     0.003695427    0.83008649    -0.11385239   
     42000   1.0342805      0.0046530726   0.91945807    -0.10333042   
     43000   0.99858665     0.0043842179   0.84379655    -0.1436947    
     44000   1.0395444      0.0052899238   0.89332074    -0.13467317   
     45000   1.0109214      0.0049767714   0.8583077     -0.14138127   
     46000   1.061833       0.0042362268   0.92277661    -0.12725827   
     47000   0.97907571     0.0045710449   0.82823053    -0.13996656   
     48000   1.067078       0.0051387918   0.90281803    -0.15240357   
     49000   1.0110975      0.0041016442   0.84284913    -0.15701395   
     50000   0.96898639     0.0036033407   0.80844291    -0.14977697   
     51000   1.0250723      0.0038098774   0.85411623    -0.15956636   
     52000   1.1133167      0.0040102598   0.93935393    -0.16159254   
     53000   1.0339443      0.0038926466   0.87364694    -0.14880905   
     54000   1.0540882      0.0037245626   0.8808296     -0.16154654   
     55000   0.98990639     0.002982789    0.79815198    -0.18075545   
     56000   1.0552831      0.0042507597   0.83942533    -0.20413237   
     57000   0.98327292     0.0053807509   0.78157196    -0.1907757    
     58000   0.97076926     0.0045305444   0.75903382    -0.20094912   
     59000   1.0050286      0.0037835751   0.79019756    -0.20366405   
     60000   0.98769603     0.0041172177   0.77966414    -0.19705748   
