fix fLANG all langevin 1.0 1.0 1.0 100
neigh_modify exclude molecule/intra all
fix rigidNVE linked_vesicle rigid/nve molecule
  1 rigid bodies with 5 atoms
fix NVE synapsin nve 1.0 1.0 1.0

    ##======================================##
    ## Output
    ##======================================##

thermo 1000
thermo_style custom step temp press etotal epair
thermo_modify flush yes
timestep 0.01

    ##======================================##
    ## Equilibration before output
    ##======================================##


    ##======================================##
    ## Run with output
    ##======================================##

fix enforce_2d all enforce2d
dump 2 all custom 1000 Results_eps_attr5_eps_rep1_range2_attr_with_repFalse_n_synapsin400_n_vesicles1/Movie_2d_eps_attr5_eps_rep1_range2_attr_with_repFalse_n_synapsin400_n_vesicles1.xyz id type mol x y z
run 1000000
Generated 0 of 3 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update every 1 steps, delay 1 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 11.52462
  ghost atom cutoff = 11.52462
  binsize = 5.7623102, bins = 55 55 1
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair cosine/squared, perpetual
      attributes: half, newton on
      pair build: half/bin/newton
      stencil: half/bin/2d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 8.526 | 8.526 | 8.526 Mbytes
   Step          Temp          Press          TotEng         E_pair    
         0   0.99441908    -0.013071225    0.98336998     0            
      1000   1.052877       0.0040548885   1.0411809      2.5044906e-06
      2000   0.97902644     0.0030040622   0.96849889     0.00035052091
      3000   1.0601207      0.0035583022   1.0483416      0            
      4000   1.0466423      0.0043625821   1.0350129      0            
      5000   1.0005436      0.0035020426   0.98945454     2.8061539e-05
      6000   0.97028404     0.0030784247   0.95950311     0            
      7000   0.9429228      0.0035389451   0.9342467      0.001800821  
      8000   1.070792       0.0042930144   1.0588943      0            
      9000   1.099818       0.0040939823   1.0875978      0            
     10000   1.0644232      0.0046867354   1.0489296     -0.0036666768 
     11000   0.96128538     0.0042838964   0.94287787    -0.0077265603 
     12000   0.93211566     0.0029088934   0.91429166    -0.0074671627 
     13000   0.95315353     0.004519498    0.92926079    -0.013302142  
     14000   1.0551252      0.0043592185   1.0248876     -0.018513963  
     15000   0.96036245     0.0042360934   0.92582442    -0.023867337  
     16000   0.96266474     0.0042919275   0.94016376    -0.011804704  
     17000   1.0031051      0.0042323743   0.98095198    -0.011007488  
     18000   1.0920068      0.003990206    1.0676734     -0.012199984  
     19000   1.0098123      0.003608845    0.98655482    -0.012037358  
     20000   0.98470335     0.0041002197   0.9737622      0            
     21000   0.96250841     0.0045016203   0.95181387     0            
     22000   0.89184152     0.0041303058   0.88193217     0            
     23000   0.91064415     0.0038131258   0.90052588     0            
     24000   0.95342671     0.0035917524   0.94283308     0            
     25000   0.94961121     0.0037406077   0.93905997     0            
     26000   0.96445748     0.0042729766   0.95374129     0            
     27000   1.0046916      0.0043438281   0.98282677    -0.010701552  
     28000   1.0195029      0.0059442694   1.0020481     -0.0061269837 
     29000   1.0328259      0.0037656743   0.99981335    -0.021536712  
     30000   0.95693933     0.0037355404   0.92573435    -0.020572317  
     31000   1.0027232      0.0036366665   0.96782859    -0.023753211  
     32000   1.0553762      0.003816678    1.0241608     -0.019488992  
     33000   1.0072801      0.0041631193   0.9856058     -0.010482262  
     34000   0.95686451     0.0034543742   0.93859144    -0.0076412481 
     35000   1.0438786      0.0033997371   1.011702      -0.020577955  
     36000   0.98350743     0.0035716541   0.9557569     -0.016822678  
     37000   1.0242197      0.0044093367   0.98954789    -0.023291562  
     38000   0.99020941     0.0041998326   0.95759599    -0.021611092  
     39000   0.90589993     0.0034286146   0.87685145    -0.018982921  
     40000   1.0327783      0.0050941734   1.0005502     -0.020752751  
     41000   0.9393885      0.0038373769   0.90955562    -0.019395233  
     42000   1.0506622      0.004047067    0.99477744    -0.04421075   
     43000   0.99155143     0.0044197546   0.95246187    -0.028072318  
     44000   1.0477621      0.0035889699   1.0129462     -0.023174097  
     45000   1.0226414      0.0037117236   0.99577549    -0.015503203  
     46000   1.0458916      0.005145309    1.0103526     -0.023917984  
     47000   0.99351211     0.00445215     0.94686902    -0.035604069  
     48000   1.0652044      0.0043031626   1.0181075     -0.035261298  
     49000   1.007387       0.0046220743   0.94367995    -0.052513861  
     50000   0.93811152     0.0035677322   0.86789583    -0.059792236  
     51000   1.0054754      0.0038266321   0.93140905    -0.062894407  
     52000   1.0963593      0.0040745908   1.0321549     -0.052022584  
     53000   1.0471464      0.0043865123   0.97225076    -0.063260649  
     54000   1.0501995      0.0027784626   0.98127146    -0.057259156  
     55000   1.0012351      0.0031119771   0.9196888     -0.070421487  
     56000   1.0389141      0.0042925999   0.96964251    -0.05772814   
     57000   0.99726798     0.0046001954   0.90883026    -0.07735696   
     58000   0.96730025     0.0042590539   0.88973191    -0.066820557  
     59000   1.0204741      0.004945863    0.94695534    -0.06218016   
     60000   1.0220217      0.0043365337   0.95524582    -0.05542009   
     61000   1.0541448      0.0030886      0.9947159     -0.047716188  
