fix fLANG all langevin 1.0 1.0 1.0 100
neigh_modify exclude molecule/intra all
fix rigidNVE linked_vesicle rigid/nve molecule
  1 rigid bodies with 5 atoms
fix NVE synapsin nve 1.0 1.0 1.0

    ##======================================##
    ## Output
    ##======================================##

thermo 1000
thermo_style custom step temp press etotal epair
thermo_modify flush yes
timestep 0.01

    ##======================================##
    ## Equilibration before output
    ##======================================##


    ##======================================##
    ## Run with output
    ##======================================##

fix enforce_2d all enforce2d
dump 2 all custom 1000 Results_eps_attr8_eps_rep1_range2_attr_with_repFalse_n_synapsin400_n_vesicles1/Movie_2d_eps_attr8_eps_rep1_range2_attr_with_repFalse_n_synapsin400_n_vesicles1.xyz id type mol x y z
run 1000000
Generated 0 of 3 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update every 1 steps, delay 1 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 11.52462
  ghost atom cutoff = 11.52462
  binsize = 5.7623102, bins = 55 55 1
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair cosine/squared, perpetual
      attributes: half, newton on
      pair build: half/bin/newton
      stencil: half/bin/2d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 8.526 | 8.526 | 8.526 Mbytes
   Step          Temp          Press          TotEng         E_pair    
         0   0.99441908    -0.013071225    0.98336998     0            
      1000   1.052877       0.0040548885   1.0411809      2.5044906e-06
      2000   0.97902644     0.0030040622   0.96849889     0.00035052091
      3000   1.0601207      0.0035583022   1.0483416      0            
      4000   1.0466423      0.0043625821   1.0350129      0            
      5000   1.0005436      0.0035020426   0.98945454     2.8061539e-05
      6000   0.97028404     0.0030784247   0.95950311     0            
      7000   0.9429228      0.0035389451   0.9342467      0.001800821  
      8000   1.070792       0.0042930144   1.0588943      0            
      9000   1.099818       0.0040939823   1.0875978      0            
     10000   1.0681135      0.0046403144   1.0440941     -0.012151486  
     11000   0.96698482     0.0038302633   0.93831816    -0.017922385  
     12000   0.93074307     0.0040394611   0.90074871    -0.019652774  
     13000   0.96659099     0.0032274433   0.93717185    -0.018679235  
     14000   1.0508619      0.0052419199   1.0031067     -0.036078927  
     15000   0.96241112     0.0046372808   0.91593893    -0.03577873   
     16000   0.96353745     0.0044770684   0.9180247     -0.034806781  
     17000   1.0006256      0.0048895132   0.95792843    -0.031579091  
     18000   1.0832904      0.0043883696   1.0362764     -0.034977371  
     19000   0.99525991     0.0042387751   0.92755713    -0.056644341  
     20000   0.9947237      0.0043703905   0.92731324    -0.056357975  
     21000   0.96469598     0.0049055254   0.90066995    -0.053307183  
     22000   0.90348792     0.0030512527   0.83679977    -0.056649395  
     23000   0.90703433     0.0044981492   0.8491698     -0.04778637   
     24000   0.95586384     0.0034393702   0.90665677    -0.03858636   
     25000   0.95040685     0.0028480903   0.90516803    -0.034678749  
     26000   0.97437817     0.0044684313   0.92861801    -0.034933741  
     27000   1.0095942      0.0039349567   0.96291007    -0.035466413  
     28000   1.0175817      0.0049583484   0.96702453    -0.039250682  
     29000   1.0345152      0.0045986933   0.98714151    -0.035879113  
     30000   0.98275614     0.0037334424   0.93503727    -0.036799353  
     31000   0.97873371     0.0046799855   0.91475288    -0.053106007  
     32000   1.021865       0.0033661998   0.95369556    -0.056815396  
     33000   1.033859       0.0039849363   0.94866865    -0.073703017  
     34000   0.95156762     0.002849143    0.86323819    -0.077756455  
     35000   1.0414564      0.0032812123   0.91822108    -0.11166362   
     36000   0.9783327      0.0040506963   0.86328845    -0.10417389   
     37000   1.0080452      0.00413884     0.89213189    -0.10471285   
     38000   1.0011096      0.0046899097   0.88192114    -0.10806505   
     39000   0.90779629     0.0043221472   0.78952645    -0.10818321   
     40000   1.0355533      0.0045225656   0.9174535     -0.10659368   
     41000   0.93427764     0.0049116458   0.81856103    -0.10533574   
     42000   1.0135871      0.0040435354   0.89588703    -0.10643801   
     43000   0.99689586     0.0032128909   0.87943794    -0.1063813    
     44000   1.0459198      0.0046429115   0.92840787    -0.10589059   
     45000   1.0253626      0.0038719965   0.90029082    -0.11367886   
     46000   1.0679481      0.0041148699   0.94998593    -0.10609609   
     47000   0.99437007     0.0033231028   0.87928485    -0.10403666   
     48000   1.0733654      0.0046033864   0.94960702    -0.1118321    
     49000   1.0232434      0.0045025628   0.90533678    -0.10653721   
     50000   0.94960271     0.0037246547   0.85385236    -0.0851992    
     51000   0.98092752     0.005384977    0.86603746    -0.10399087   
     52000   1.0946108      0.005074921    0.97873168    -0.10371674   
     53000   1.0273826      0.0036465944   0.91797112    -0.097996086  
     54000   1.0750001      0.0052165791   0.95380154    -0.10925411   
     55000   0.99884105     0.0047905529   0.86948804    -0.11825478   
     56000   1.0360159      0.003562621    0.9126941     -0.11181056   
     57000   1.0013917      0.0046113848   0.86753306    -0.12273203   
     58000   0.97205953     0.0041088803   0.84387483    -0.11738403   
     59000   0.99805186     0.0040235802   0.87421543    -0.11274697   
     60000   1.0440713      0.0026114036   0.88535689    -0.14711363   
