fix fLANG all langevin 1.0 1.0 1.0 100
fix NVE all nve 1.0 1.0 1.0

    ##======================================##
    ## Output
    ##======================================##

thermo 1000
thermo_style custom step temp press etotal epair
thermo_modify flush yes
timestep 0.01

    ##======================================##
    ## Equilibration before output
    ##======================================##


    ##======================================##
    ## Run with output
    ##======================================##

fix enforce_2d all enforce2d
dump 2 all custom 1000 Results_eps_attr5_eps_rep0_eps_rep_weak0_range2_attr_with_repFalse_n_synapsin300_n_vesicles0/Movie_2d_eps_attr5_eps_rep0_eps_rep_weak0_range2_attr_with_repFalse_n_synapsin300_n_vesicles0.xyz id type mol x y z
run 1000000
Generated 0 of 1 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update every 1 steps, delay 1 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 3.3
  ghost atom cutoff = 3.3
  binsize = 1.65, bins = 190 190 1
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair cosine/squared, perpetual
      attributes: half, newton on
      pair build: half/bin/newton
      stencil: half/bin/2d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 7.419 | 7.419 | 7.419 Mbytes
   Step          Temp          Press          TotEng         E_pair    
         0   1              0.00613376     0.99833333     0            
      1000   1.1051194      0.0065123823   0.98362336    -0.11965419   
      2000   1.0954014      0.0061446335   0.69642404    -0.3971517    
      3000   1.0300198      0.0053694246   0.38033108    -0.64797205   
      4000   1.0791558      0.0051410614   0.084392907   -0.99296425   
      5000   1.0679266      0.0048895266  -0.075744278   -1.141891     
      6000   0.9741882      0.0041429167  -0.35705545    -1.32962      
      7000   1.0138923      0.0041782546  -0.45684178    -1.4690442    
      8000   0.94583063     0.0036626784  -0.73451066    -1.6787649    
      9000   1.0117104      0.0036448408  -0.88418117    -1.8942054    
     10000   0.97487222     0.0035007938  -1.0968605     -2.0701079    
     11000   1.0358022      0.0038087561  -1.3897652     -2.423841     
     12000   1.0116634      0.0033870641  -1.5250558     -2.5350331    
     13000   1.0279144      0.003639714   -1.6484622     -2.6746634    
     14000   0.96783223     0.0033520993  -1.9179767     -2.8841958    
     15000   1.0309461      0.0028728666  -2.0259887     -3.0552165    
     16000   0.97473318     0.0029604435  -2.2662415     -3.2393501    
     17000   1.0447282      0.0030442741  -2.2560277     -3.2990146    
     18000   0.94881384     0.0028041116  -2.6146197     -3.5618522    
     19000   0.98164026     0.0027371987  -2.5120199     -3.4920241    
     20000   1.0123814      0.0029220442  -2.7580896     -3.7687837    
     21000   1.0569026      0.0032175946  -2.8105474     -3.8656884    
     22000   0.98189056     0.0025300658  -2.9366112     -3.9168653    
     23000   1.0152415      0.0027950176  -3.0952867     -4.1088361    
     24000   1.065761       0.0027586067  -3.2898703     -4.353855     
     25000   0.97894111     0.0026308319  -3.5636561     -4.5409657    
     26000   1.066123       0.0029565022  -3.625876      -4.6902221    
     27000   0.94393807     0.0023221356  -3.8577212     -4.800086     
     28000   0.94706647     0.0023516345  -3.9020962     -4.8475842    
     29000   1.0469967      0.0028460315  -3.8760828     -4.9213345    
     30000   1.010743       0.0023656834  -3.9733183     -4.9823768    
     31000   1.0467188      0.0029041955  -4.1051226     -5.1500969    
     32000   0.99428662     0.0023620426  -4.2187902     -5.2114197    
     33000   0.98507796     0.0023036924  -4.2781812     -5.2616174    
     34000   0.99824207     0.0022771395  -4.4968761     -5.4934544    
     35000   1.0800547      0.002703371   -4.5759604     -5.654215     
     36000   0.98997642     0.0023632209  -4.7074818     -5.6958082    
     37000   1.0271145      0.0018964932  -4.7817685     -5.8071711    
     38000   0.96085753     0.001501393   -5.1443809     -6.103637     
     39000   0.97224882     0.0020190359  -5.2874635     -6.2580919    
     40000   0.97823312     0.0018233069  -5.3607548     -6.3373575    
     41000   0.98481376     0.0012372512  -5.3700329     -6.3532053    
     42000   0.95944569     0.0014326586  -5.6562491     -6.6140958    
     43000   1.1452385      0.0028519343  -5.8113617     -6.9546915    
     44000   1.0291984      0.0019657214  -5.9732851     -7.0007682    
     45000   0.95247487     0.0012952131  -6.0955398     -7.0464272    
     46000   1.013138       0.0017229882  -6.0724402     -7.0838896    
     47000   1.073473       0.0026434625  -6.4424907     -7.5141747    
     48000   1.0220213      0.0023087191  -6.5414179     -7.5617358    
     49000   1.0748156      0.0022753984  -6.6858492     -7.7588734    
     50000   0.99988041     0.0011921718  -6.8038058     -7.8020198    
     51000   1.0164024      0.0020982943  -6.8865844     -7.9012929    
     52000   1.0356969      0.0019685567  -6.9113476     -7.9453183    
     53000   1.0125778      0.00181246    -7.0050081     -8.0158983    
     54000   0.98053917     0.0010098438  -7.2305002     -8.2094051    
     55000   1.061077       0.0020425697  -7.4950077     -8.5543162    
     56000   0.96494396     0.0013709093  -7.6492844     -8.6126202    
     57000   1.0314144      0.0018196372  -7.5651305     -8.5948259    
     58000   0.97003454     0.0016758002  -7.6625158     -8.6309336    
     59000   1.0312291      0.0017622245  -7.6077613     -8.6372717    
     60000   1.0308519      0.0018491664  -7.7119146     -8.7410485    
     61000   0.97443938     0.0016454317  -7.9019508     -8.8747661    
     62000   1.0247864      0.0017382321  -7.8584189     -8.8814973    
     63000   0.98066534     0.0015691115  -7.9484763     -8.9275072    
     64000   0.92890201     0.0010324966  -8.0397366     -8.9670904    
     65000   0.98048623     0.001166632   -7.9822794     -8.9611315    
     66000   1.0811036      0.0023353053  -8.169548      -9.2488498    
     67000   0.98988695     0.001380555   -8.2364459     -9.224683     
     68000   0.99304589     0.0016898954  -8.3674757     -9.3588665    
     69000   1.02897        0.0013424602  -8.4625612     -9.4898162    
     70000   1.0460236      0.0021004751  -8.5227927     -9.567073     
     71000   1.0111224      0.00086353556 -8.4754475     -9.4848846    
     72000   0.9894205      0.0015930447  -8.6410454     -9.6288169    
     73000   1.0565256      0.0014889898  -8.5148473     -9.5696121    
     74000   1.0363406      0.0016017051  -8.5614353     -9.5960486    
     75000   0.99817572     0.0014690144  -8.7432685     -9.7397806    
     76000   1.0000318      0.0011949629  -8.8787065     -9.8770716    
     77000   1.0796492      0.0017892308  -8.8429658     -9.9208157    
     78000   1.0384915      0.0018527785  -8.9053059     -9.9420666    
     79000   1.0403446      0.0014239449  -8.8216183     -9.860229     
     80000   1.0553031      0.0015469555  -8.876726      -9.9302703    
     81000   1.0266565      0.0014057401  -8.9613115     -9.986257     
     82000   0.99717429     0.00096083423 -9.1002313     -10.095744    
     83000   1.0085112      0.0014581067  -9.1139926     -10.120823    
     84000   0.93055497     0.00073494921 -9.2052057     -10.13421     
     85000   1.02462        0.0018867351  -9.2143472     -10.237259    
     86000   0.95226995     0.0012117052  -9.3516994     -10.302382    
     87000   1.0077664      0.0014685501  -9.3789426     -10.385029    
     88000   0.98313309     0.0011412265  -9.5076084     -10.489103    
     89000   1.007866       0.001482046   -9.6008339     -10.60702     
     90000   1.0485958      0.0013336788  -9.5208908     -10.567739    
     91000   0.94092869     0.00056885147 -9.6387723     -10.578133    
     92000   1.0669185      0.0014002635  -9.5651442     -10.630284    
     93000   0.96213505     0.00091954403 -9.7116241     -10.672156    
     94000   1.0033738      0.0010487206  -10.187375     -11.189077    
